,January,Fajr,Sunrise,Dhuhr,Asr,Magrib,Isha,
Monday,1,6:39 AM,8:50 AM,12:39 PM,2:11 PM,4:26 PM,6:30 PM,
Tuesday,2,6:39 AM,8:50 AM,12:40 PM,2:12 PM,4:27 PM,6:31 PM,
Wednesday,3,6:39 AM,8:50 AM,12:40 PM,2:13 PM,4:28 PM,6:32 PM,
Thursday,4,6:39 AM,8:49 AM,12:41 PM,2:14 PM,4:30 PM,6:33 PM,
Friday,5,6:39 AM,8:49 AM,12:41 PM,2:15 PM,4:31 PM,6:34 PM,
Saturday,6,6:39 AM,8:48 AM,12:41 PM,2:16 PM,4:32 PM,6:35 PM,
Sunday,7,6:39 AM,8:48 AM,12:42 PM,2:17 PM,4:34 PM,6:36 PM,
Monday,8,6:38 AM,8:47 AM,12:42 PM,2:18 PM,4:35 PM,6:37 PM,
Tuesday,9,6:38 AM,8:47 AM,12:43 PM,2:19 PM,4:36 PM,6:38 PM,
Wednesday,10,6:38 AM,8:46 AM,12:43 PM,2:20 PM,4:38 PM,6:40 PM,
Thursday,11,6:37 AM,8:45 AM,12:43 PM,2:22 PM,4:39 PM,6:41 PM,
Friday,12,6:37 AM,8:45 AM,12:44 PM,2:23 PM,4:41 PM,6:42 PM,
Saturday,13,6:36 AM,8:44 AM,12:44 PM,2:24 PM,4:42 PM,6:43 PM,
Sunday,14,6:36 AM,8:43 AM,12:44 PM,2:26 PM,4:44 PM,6:45 PM,
Monday,15,6:35 AM,8:42 AM,12:45 PM,2:27 PM,4:46 PM,6:46 PM,
Tuesday,16,6:34 AM,8:41 AM,12:45 PM,2:28 PM,4:47 PM,6:47 PM,
Wednesday,17,6:34 AM,8:40 AM,12:46 PM,2:30 PM,4:49 PM,6:49 PM,
Thursday,18,6:33 AM,8:39 AM,12:46 PM,2:31 PM,4:51 PM,6:50 PM,
Friday,19,6:32 AM,8:38 AM,12:46 PM,2:32 PM,4:53 PM,6:51 PM,
Saturday,20,6:31 AM,8:37 AM,12:46 PM,2:34 PM,4:54 PM,6:53 PM,
Sunday,21,6:30 AM,8:35 AM,12:47 PM,2:35 PM,4:56 PM,6:54 PM,
Monday,22,6:29 AM,8:34 AM,12:47 PM,2:37 PM,4:58 PM,6:56 PM,
Tuesday,23,6:28 AM,8:33 AM,12:47 PM,2:38 PM,5:00 PM,6:57 PM,
Wednesday,24,6:27 AM,8:31 AM,12:48 PM,2:40 PM,5:02 PM,6:59 PM,
Thursday,25,6:26 AM,8:30 AM,12:48 PM,2:41 PM,5:04 PM,7:00 PM,
Friday,26,6:25 AM,8:29 AM,12:48 PM,2:43 PM,5:05 PM,7:02 PM,
Saturday,27,6:24 AM,8:27 AM,12:48 PM,2:44 PM,5:07 PM,7:04 PM,
Sunday,28,6:23 AM,8:26 AM,12:48 PM,2:46 PM,5:09 PM,7:05 PM,
Monday,29,6:22 AM,8:24 AM,12:49 PM,2:47 PM,5:11 PM,7:07 PM,
Tuesday,30,6:20 AM,8:22 AM,12:49 PM,2:49 PM,5:13 PM,7:08 PM,
Wednesday,31,6:19 AM,8:21 AM,12:49 PM,2:51 PM,5:15 PM,7:10 PM,
,February,Fajr,Sunrise,Dhuhr,Asr,Magrib,Isha,
Thursday,1,6:18 AM,8:19 AM,12:49 PM,2:52 PM,5:17 PM,7:12 PM,
Friday,2,6:16 AM,8:18 AM,12:49 PM,2:54 PM,5:19 PM,7:13 PM,
Saturday,3,6:15 AM,8:16 AM,12:49 PM,2:55 PM,5:21 PM,7:15 PM,
Sunday,4,6:14 AM,8:14 AM,12:50 PM,2:57 PM,5:23 PM,7:17 PM,
